"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2024","626.62","576.50","666.66","543.87","9.90M","8.67%"
"10/01/2024","576.60","567.50","612.09","534.70","6.76M","1.60%"
"09/01/2024","567.51","532.90","617.86","472.09","7.66M","6.49%"
"08/01/2024","532.90","576.40","597.22","404.53","10.93M","-7.55%"
"07/01/2024","576.40","582.40","605.48","456.33","8.29M","-1.01%"
"06/01/2024","582.30","593.80","720.75","552.21","10.02M","-1.94%"
"05/01/2024","593.80","578.41","629.98","537.50","10.58M","2.66%"
"04/01/2024","578.41","606.69","627.68","510.84","19.61M","-4.69%"
"03/01/2024","606.89","399.10","641.80","362.15","42.88M","52.06%"
"02/01/2024","399.10","300.50","426.79","296.61","22.09M","32.81%"
"01/01/2024","300.50","312.00","333.69","287.60","26.58M","-3.69%"
"12/01/2023","312.00","227.60","337.89","226.00","32.06M","37.08%"
"11/01/2023","227.60","226.30","271.14","222.60","26.47M","0.57%"
"10/01/2023","226.30","214.50","237.49","202.99","13.76M","5.50%"
"09/01/2023","214.50","216.80","221.20","204.19","9.83M","-1.01%"
"08/01/2023","216.70","240.90","248.79","203.80","12.75M","-10.05%"
"07/01/2023","240.90","240.40","261.60","231.49","16.19M","0.21%"
"06/01/2023","240.40","306.70","308.40","221.40","21.03M","-21.62%"
"05/01/2023","306.70","337.58","339.49","301.30","9.17M","-9.15%"
"04/01/2023","337.58","317.10","350.00","299.91","13.00M","6.46%"
"03/01/2023","317.10","301.40","345.99","265.31","14.48M","5.21%"
"02/01/2023","301.39","312.11","337.59","283.00","11.41M","-3.43%"
"01/01/2023","312.11","246.10","323.00","241.20","10.60M","26.82%"
"12/01/2022","246.10","300.40","301.80","220.50","11.12M","-18.08%"
"11/01/2022","300.40","325.60","393.42","250.60","21.35M","-7.79%"
"10/01/2022","325.79","284.89","337.10","257.05","8.96M","14.36%"
"09/01/2022","284.89","279.20","299.80","256.71","11.45M","2.07%"
"08/01/2022","279.11","283.50","336.60","272.40","16.63M","-1.55%"
"07/01/2022","283.50","219.41","301.51","213.60","18.40M","29.22%"
"06/01/2022","219.39","320.79","324.29","184.06","27.14M","-31.61%"
"05/01/2022","320.79","376.99","412.81","219.98","37.85M","-14.91%"
"04/01/2022","377.01","428.84","459.98","376.69","21.07M","-12.09%"
"03/01/2022","428.84","395.61","452.11","359.80","3.49B","8.40%"
"02/01/2022","395.61","374.31","444.86","323.89","22.60M","5.72%"
"01/01/2022","374.21","511.70","533.59","336.82","31.59M","-26.87%"
"12/01/2021","511.70","621.51","649.59","495.12","32.08M","-17.90%"
"11/01/2021","623.23","524.65","668.80","511.74","41.54M","18.83%"
"10/01/2021","524.46","387.59","540.31","381.79","39.84M","35.31%"
"09/01/2021","387.59","464.29","509.75","320.10","41.86M","-16.52%"
"08/01/2021","464.29","332.32","518.58","317.70","48.83M","39.67%"
"07/01/2021","332.41","303.24","339.36","255.79","50.09M","9.62%"
"06/01/2021","303.25","353.63","432.58","225.93","98.40M","-14.27%"
"05/01/2021","353.74","623.25","690.87","212.41","145.07M","-43.25%"
"04/01/2021","623.33","302.19","636.11","300.79","135.76M","106.27%"
"03/01/2021","302.18","210.04","316.44","209.51","128.93M","43.87%"
"02/01/2021","210.04","44.31","346.82","43.43","249.69M","374.42%"
"01/01/2021","44.27","37.33","47.19","35.10","132.43M","18.58%"
"12/01/2020","37.34","31.42","39.70","26.73","111.44M","18.56%"
"11/01/2020","31.49","32.33","35.38","26.45","110.72M","10.46%"
"10/01/2020","28.51","29.27","32.37","25.71","111.86M","-2.77%"
"09/01/2020","29.32","23.13","33.35","18.02","204.02M","26.74%"
"08/01/2020","23.13","20.67","23.92","19.26","115.72M","11.94%"
"07/01/2020","20.67","19.84","20.85","19.56","101.90M","34.18%"
"06/01/2020","15.40","17.10","18.19","14.85","92.99M","-9.97%"
"05/01/2020","17.11","17.00","18.16","14.03","186.16M","0.63%"
"04/01/2020","17.00","12.55","18.20","11.98","253.24M","35.48%"
"03/01/2020","12.55","19.28","21.76","6.50","300.11M","-34.90%"
"02/01/2020","19.28","18.22","27.20","18.22","212.07M","5.90%"
"01/01/2020","18.20","13.73","18.83","12.99","169.65M","32.57%"
"12/01/2019","13.73","15.67","15.91","12.15","153.96M","-12.42%"
"11/01/2019","15.68","19.85","19.85","14.15","131.56M","-21.01%"
"10/01/2019","19.85","15.84","21.14","15.22","131.61M","25.30%"
"09/01/2019","15.84","21.22","23.58","14.65","82.96M","-25.37%"
"08/01/2019","21.22","27.73","31.78","21.17","87.59M","-23.46%"
"07/01/2019","27.73","32.12","34.36","24.18","107.93M","-13.65%"
"06/01/2019","32.11","32.92","39.54","28.73","144.90M","-2.48%"
"05/01/2019","32.93","22.04","35.47","18.33","104.06M","49.39%"
"04/01/2019","22.04","17.53","25.49","16.32","83.86M","25.74%"
"03/01/2019","17.53","10.27","17.72","10.24","115.04M","70.65%"
"02/01/2019","10.27","6.22","11.27","6.12","110.61M","65.16%"
"01/01/2019","6.22","6.11","7.20","5.38","72.09M","1.88%"
"12/01/2018","6.11","5.11","6.62","4.13","48.45M","19.22%"
"11/01/2018","5.12","9.49","9.98","4.54","25.62M","-46.05%"
"10/01/2018","9.49","10.02","10.98","9.23","36.06M","-5.30%"
"09/01/2018","10.02","10.99","11.57","9.01","25.91M","-8.72%"
"08/01/2018","10.98","13.80","14.47","8.54","35.91M","-20.44%"
"07/01/2018","13.80","14.67","14.88","11.64","46.37M","-6.35%"
"06/01/2018","14.74","14.20","17.44","13.36","77.14M","3.67%"
"05/01/2018","14.22","14.32","16.23","0.00","60.18M","-0.72%"
"04/01/2018","14.32","11.05","15.90","10.32","110.48M","29.64%"
"03/01/2018","11.04","10.46","14.93","7.07","109.34M","5.62%"
"02/01/2018","10.46","11.31","11.85","0.00","68.44M","-7.57%"
"01/01/2018","11.31","8.53","24.64","7.80","77.38M","32.63%"
"12/01/2017","8.53","1.95","11.30","1.88","32.83M","337.44%"
