"Date","Price","Open","High","Low","Vol.","Change %"
"11/01/2024","90,990.0","70,299.0","93,286.0","66,881.0","28.47K","29.43%"
"10/01/2024","70,299.0","63,468.0","73,525.0","58,944.0","18.50K","10.76%"
"09/01/2024","63,468.0","59,155.0","66,548.0","52,756.0","27.04K","7.29%"
"08/01/2024","59,155.0","64,724.0","65,694.0","49,538.0","31.20K","-8.60%"
"07/01/2024","64,724.0","62,867.0","70,162.0","53,727.0","30.94K","2.95%"
"06/01/2024","62,867.0","67,582.0","71,912.0","58,595.0","26.59K","-6.98%"
"05/01/2024","67,582.0","60,836.0","71,921.0","56,756.0","32.61K","11.09%"
"04/01/2024","60,836.0","71,402.0","72,761.0","59,372.0","51.26K","-14.80%"
"03/01/2024","71,402.0","61,148.0","73,666.0","59,858.0","107.31K","16.77%"
"02/01/2024","61,148.0","42,594.0","63,780.0","41,880.0","62.02K","43.56%"
"01/01/2024","42,594.0","42,323.0","48,750.0","38,572.0","63.18K","0.64%"
"12/01/2023","42,323.0","37,723.0","44,699.0","37,626.0","53.42K","12.19%"
"11/01/2023","37,723.0","34,669.0","38,410.0","34,114.0","43.81K","8.81%"
"10/01/2023","34,669.0","26,980.0","35,175.0","26,562.0","52.27K","28.50%"
"09/01/2023","26,980.0","25,967.0","27,506.0","24,927.0","37.45K","3.90%"
"08/01/2023","25,967.0","29,273.0","30,235.0","24,863.0","33.11K","-11.29%"
"07/01/2023","29,273.0","30,500.0","31,814.0","28,931.0","31.06K","-4.02%"
"06/01/2023","30,500.0","27,220.0","31,415.0","24,853.0","35.17K","12.05%"
"05/01/2023","27,220.0","29,255.0","29,836.0","25,884.0","29.99K","-6.96%"
"04/01/2023","29,255.0","28,460.0","30,968.0","26,998.0","44.60K","2.79%"
"03/01/2023","28,460.0","23,134.0","29,170.0","19,592.0","96.49K","23.02%"
"02/01/2023","23,134.0","23,135.0","25,232.0","21,404.0","58.02K","0.00%"
"01/01/2023","23,135.0","16,564.0","23,962.0","16,517.0","67.59K","39.67%"
"12/01/2022","16,564.0","17,182.0","18,373.0","16,320.0","44.60K","-3.60%"
"11/01/2022","17,182.0","20,509.0","21,470.0","15,501.0","127.45K","-16.22%"
"10/01/2022","20,509.0","19,430.0","21,074.0","18,200.0","100.51K","5.55%"
"09/01/2022","19,430.0","20,058.0","22,746.0","18,214.0","302.66K","-3.13%"
"08/01/2022","20,058.0","23,294.0","25,203.0","19,540.0","145.16K","-13.89%"
"07/01/2022","23,294.0","19,938.0","24,641.0","18,774.0","167.25K","16.83%"
"06/01/2022","19,938.0","31,792.0","31,974.0","17,611.0","238.61K","-37.29%"
"05/01/2022","31,792.0","37,662.0","39,996.0","26,600.0","218.80K","-15.59%"
"04/01/2022","37,662.0","45,535.0","47,414.0","37,633.0","106.58K","-17.29%"
"03/01/2022","45,535.0","43,202.0","48,159.0","37,198.0","142.89K","5.40%"
"02/01/2022","43,202.0","38,495.0","45,851.0","34,435.0","149.12K","12.14%"
"01/01/2022","38,526.0","46,218.0","47,980.0","32,981.0","190.49K","-16.64%"
"12/01/2021","46,218.0","56,938.0","59,055.0","42,101.0","170.53K","-18.83%"
"11/01/2021","56,938.0","61,330.0","68,925.0","53,482.0","169.14K","-7.16%"
